source,target,weight
33andADHD,GingerKohler,11
33andADHD,GirlscoutMomma,1
33andADHD,dafamily4,1
33andADHD,zanychick,2
33andADHD,robert_cameron_jr,10
33andADHD,LuvMe123,1
33andADHD,lovespainting,1
33andADHD,LesaH,2
33andADHD,AddMoma,8
33andADHD,gary0521,1
33andADHD,emrldeyz80,2
33andADHD,exintrovert,6
33andADHD,Whatever_123,1
33andADHD,carter66,2
33andADHD,zooman2012,5
33andADHD,JerEderd,1
33andADHD,kendyf,2
33andADHD,china_cat84,4
33andADHD,ADubsHD,1
33andADHD,Ladybug17331,2
33andADHD,Rkinch,3
33andADHD,roselp,1
33andADHD,Manoa888,1
33andADHD,sandie_law,3
33andADHD,akerlin,1
33andADHD,ndnbutterfly,1
33andADHD,tammylg,3
33andADHD,Bluinkgirl,1
33andADHD,njohnson1975,1
33andADHD,tedikay87,2
33andADHD,steve4545,1
33andADHD,Radioboy1967,1
33andADHD,court1204,1
33andADHD,cnycarnut,2
33andADHD,sprogers,14
33andADHD,swatts9155,1
33andADHD,educator2000,1
33andADHD,BurnSith,2
33andADHD,MIHyper,11
33andADHD,pixie1021,1
33andADHD,2kittyBiddy,1
33andADHD,takenrn1130,2
33andADHD,hyperallison,10
33andADHD,brokenspur64,1
33andADHD,dawn_believes,1
33andADHD,jkirk2112,2
33andADHD,rocket28,8
33andADHD,ihaveonetoo,1
33andADHD,raeraegirl,2
33andADHD,pushingforward,5
33andADHD,jenlynnand,1
33andADHD,Clever_Jackal,2
33andADHD,;,5
33andADHD,Whoami1968,1
33andADHD,favoredchild1,2
33andADHD,ChristianAngel09,3
33andADHD,AshleyNicholas,1
33andADHD,middleaged1954,1
33andADHD,llLeoll,3
33andADHD,rubberduckybug,1
33andADHD,hairdiva1969,1
33andADHD,Savage223,3
33andADHD,SwEetCanDee,1
33andADHD,nokhodchi,1
33andADHD,duzzy4,2
33andADHD,OrangeRanda,1
33andADHD,jlcarter1,1
33andADHD,iGitEm,2
33andADHD,dogsnbikes,2845
33andADHD,Heartsongs,1
33andADHD,Erik0105,1
33andADHD,LadyRoses;,2
33andADHD,sb1958,11
33andADHD,nataliemays,1
33andADHD,Squick1958,1
33andADHD,edwagallag;,2
33andADHD,allisonludwig,10
33andADHD,momscrazyw2livelybabes,1
33andADHD,WifeofADHDhusband,1
33andADHD,PrettyKitty123,2
33andADHD,baughc,9
33andADHD,addmomx4,1
33andADHD,canttrustit,2
33andADHD,Jeaniac,7
